"ID";"Name";"StructureID";"Disabled";"SysexID";"Description";"Min";"Max";"Default";"JuceControl";"Label";"Field";"Tooltip"
0;"knob_mode";6;;0;"knob_mode";0;2;2;"ComboBox";"|Absolute| |Pass-Through| |Relative|";"Hardware";
1;"keyboard_priority";7;;1;"keyboard_priority";0;3;3;"ComboBox";"|Low Note| |High Note| |Last Note| |Per-Preset|";"Hardware";
2;"arp_midi_output_mode";51;;2;"arp_midi_output_mode";0;1;0;"ComboBox";"|Sequence| |Keys|";"Hardware";
3;"boot_panel_active";9;1;3;"boot_panel_active";0;1;0;"ComboBox";"|Off| |On|";"Hardware";
4;"load_preset_volume";10;;4;"load_preset_volume";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
5;"load_preset_modwheel";11;;5;"load_preset_modwheel";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
6;"load_preset_kb_octave";12;;6;"load_preset_kb_octave";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
7;"load_preset_sequence";13;1;;"load_preset_sequence";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
8;"flagSaveEnabled";14;1;;"flagSaveEnabled";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
9;"menu_wrap";15;;9;"menu_wrap";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
10;"arp_transpose_main";16;;10;"arp_transpose_main";0;1;0;"ComboBox";"|First Note| |Mid C|";"Hardware";
11;"arp_transpose_duo";17;1;;"arp_transpose_duo";0;1;0;"ComboBox";;"Hardware";
12;"arp_phase_mode";18;;12;"arp_phase_mode";0;1;0;"ComboBox";"|Off| |On|";"Hardware";
13;"arp_ext_trigger";19;1;;"arp_ext_trigger";0;1;0;"ComboBox";;"Hardware";
14;"step_display_chase";20;;14;"step_display_chase";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
15;"poly_voice_max";21;;15;"poly_voice_max";0;15;3;"ComboBox";"|1| |2| |3| |4| |5| |6| |7| |8| |9| |10| |11| |12| |13| |14| |15| |16|";"Hardware";
16;"poly_voice_number";22;;16;"poly_voice_number";0;16;0;"ComboBox";"|Off| |1| |2| |3| |4| |5| |6| |7| |8| |9| |10| |11| |12| |13| |14| |15| |16|";"Hardware";
17;"sysex_id";23;;17;"sysex_id";0;15;1;"ComboBox";"|1| |2| |3| |4| |5| |6| |7| |8| |9| |10| |11| |12| |13| |14| |15| |16|";"Hardware";
18;"program_change_Tx";24;;18;"program_change_Tx";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
19;"program_change_Rx";25;;19;"program_change_Rx";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
20;"MidiPathIn";26;;20;"MidiPathIn";0;3;3;"ComboBox";"|Off| |DIN| |USB| |Both|";"Hardware";
21;"MidiPathOut";27;;21;"MidiPathOut";0;3;3;"ComboBox";"|Off| |DIN| |USB| |Both|";"Hardware";
22;"MidiPathUSBMerge";28;;22;"MidiPathUSBMerge";0;3;0;"ComboBox";"|Off| |DIN| |USB| |Both|";"Hardware";
23;"MidiPathDINMerge";29;;23;"MidiPathDINMerge";0;3;0;"ComboBox";"|Off| |DIN| |USB| |Both|";"Hardware";
24;"midi_channel_in";30;;24;"midi_channel_in";0;16;0;"ComboBox";"|1| |2| |3| |4| |5| |6| |7| |8| |9| |10| |11| |12| |13| |14| |15| |16| |ALL|";"Hardware";
25;"midi_channel_out";31;;25;"midi_channel_out";0;15;0;"ComboBox";"|1| |2| |3| |4| |5| |6| |7| |8| |9| |10| |11| |12| |13| |14| |15| |16|";"Hardware";
26;"midi_out_keys";32;;26;"midi_out_keys";0;1;1;"ComboBox";"|Off| |On|";"Hardware";
